Gene,NCTId,Overall_Status,Conditions,Phase,Phase_Score,Status_Score,Cancer_Score,Modality_Score,Total_Score,EARLY_PHASE1,N/A,NA,PHASE1,PHASE2,PHASE3,PHASE4
MSN,NCT03970577,UNKNOWN,Minimal Change Nephrotic Syndrome (MCNS),PHASE2,4,1,0,16,21,0.0,0.0,5.0,0.0,1.0,0.0,0.0
MST1,NCT01878357,COMPLETED,Malaria,PHASE4,6,3,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MTAP,NCT00107419,COMPLETED,Sarcoma,PHASE2,4,3,10,16,33,0.0,0.0,0.0,16.0,9.0,0.0,0.0
MTF2,NCT04190550,ACTIVE_NOT_RECRUITING,"Acute Myeloid Leukemia, Acute Myeloid Leukemia Arising From Previous Myelodysplastic Syndrome",PHASE1,3,2,10,16,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MTHFR,NCT02709668,COMPLETED,Depression,PHASE4,6,3,0,16,25,0.0,0.0,16.0,0.0,6.0,0.0,8.0
MTM1,NCT03199469,ACTIVE_NOT_RECRUITING,X-Linked Myotubular Myopathy,PHASE2,4,2,0,16,22,0.0,0.0,1.0,3.0,1.0,0.0,0.0
MTOR,NCT02328963,COMPLETED,"Transplantation Infection, Cytomegalovirus Infection",PHASE4,6,3,0,16,25,5.0,0.0,31.0,100.0,116.0,20.0,17.0
MTPN,NCT00035815,COMPLETED,Amyotrophic Lateral Sclerosis,PHASE3,5,3,0,16,24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MTR,NCT04230174,UNKNOWN,Multiple Sclerosis,PHASE4,6,1,0,16,23,0.0,0.0,12.0,3.0,3.0,0.0,2.0
MTRR,NCT06163443,COMPLETED,"Hyperhomocysteinemia, Hyperlipoproteinemias",NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
MTX1,NCT05069714,COMPLETED,"Rheumatoid Arthritis, Autoimmune Diseases, Influenza, Vaccine Reaction",PHASE3,5,3,0,16,24,0.0,0.0,0.0,0.0,0.0,2.0,0.0
MUTYH,NCT03061591,UNKNOWN,"Familial Adenomatous Polyposis, FAP, FAP Gene Mutation",PHASE2,4,1,0,16,21,0.0,0.0,1.0,0.0,1.0,0.0,0.0
MVD,NCT02497118,COMPLETED,Non Small Cell Lung Cancer,PHASE4,6,3,10,16,35,0.0,0.0,23.0,1.0,4.0,1.0,7.0
MVK,NCT06497829,RECRUITING,Mevalonate Kinase Deficiency,NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MVP,NCT01119482,COMPLETED,Meningitis,PHASE4,6,3,0,16,25,2.0,0.0,26.0,3.0,3.0,1.0,5.0
MX1,NCT04646980,COMPLETED,Influenza-like Illness,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MYC,NCT02872818,COMPLETED,Apoptotic Signal Pathways in Endometrial Hyperplasia,PHASE4,6,3,0,16,25,2.0,0.0,4.0,41.0,41.0,4.0,4.0
MYD88,NCT03005496,COMPLETED,PreTerm Birth,PHASE4,6,3,0,16,25,0.0,0.0,3.0,6.0,8.0,1.0,1.0
MYH11,NCT06211452,COMPLETED,"AML, Pediatric AML",PHASE3,5,3,0,16,24,0.0,0.0,1.0,0.0,4.0,2.0,0.0
MYH9,NCT01133860,COMPLETED,Blood Platelet Disorders,PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MYLK,NCT05453188,COMPLETED,"COVID-19, Genetic Predisposition to Disease",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MYPOP,NCT05989308,RECRUITING,Health Technology,NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MYT1L,NCT02980302,COMPLETED,"Intellectual Deficiency, Asymptomatic Carrier of the Mutation of the Gene MYT1L, Healthy Volunteers",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MZF1,NCT02282423,TERMINATED,"Diabetes, Obesity",NA,0,0,0,16,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NACA,NCT06169280,NOT_YET_RECRUITING,"Glioma, Malignant, New Diagnosis Tumor",PHASE1,3,2,10,16,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NAE1,NCT03965689,ACTIVE_NOT_RECRUITING,"Metastatic Lung Non-Small Cell Squamous Carcinoma, Metastatic Lung Non-Squamous Non-Small Cell Carcinoma, Stage IIIB Lung Cancer AJCC v8, Stage IV Lung Cancer AJCC v8, Stage IVA Lung Cancer AJCC v8, Stage IVB Lung Cancer AJCC v8, Unresectable Lung Non-Small Cell Carcinoma, Unresectable Lung Non-Squamous Non-Small Cell Carcinoma",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,2.0,0.0,0.0
NAGLU,NCT03300453,COMPLETED,Sanfilippo Syndrome B,PHASE1,3,3,0,16,22,0.0,0.0,0.0,2.0,0.0,0.0,0.0
NAMPT,NCT00495599,COMPLETED,Obesity,PHASE3,5,3,0,16,24,0.0,0.0,1.0,5.0,1.0,1.0,0.0
NANP,NCT05252845,COMPLETED,"Malaria,Falciparum",PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NANS,NCT03545568,COMPLETED,N-Acetylneuraminic Acid Storage Disease,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NAPA,NCT00653042,COMPLETED,"Coronary Artery Bypass Surgery, Coronary Heart Disease, Coronary Artery Bypass Grafting, Cardiopulmonary Bypass, Ischemic Heart Disease, Congestive Heart Failure",PHASE2,4,3,0,16,23,0.0,0.0,4.0,0.0,2.0,0.0,0.0
NAPB,NCT05836350,NOT_YET_RECRUITING,Type 2 Diabetes,PHASE4,6,2,0,16,24,1.0,0.0,0.0,2.0,0.0,0.0,1.0
NBAS,NCT02764099,COMPLETED,Drug Abuse,NA,0,3,0,16,19,0.0,0.0,7.0,0.0,0.0,0.0,0.0
NBL1,NCT06556550,RECRUITING,Oligometastatic Disease,PHASE2,4,2,10,16,32,0.0,0.0,1.0,0.0,1.0,0.0,0.0
NBN,NCT04508803,COMPLETED,Treatment Efficacy,PHASE2,4,3,0,16,23,0.0,0.0,0.0,1.0,3.0,0.0,0.0
NCAM1,NCT02452554,COMPLETED,"Pleuropulmonary Blastoma, Recurrent Malignant Peripheral Nerve Sheath Tumor, Recurrent Neuroblastoma, Recurrent Rhabdomyosarcoma, Recurrent Synovial Sarcoma, Wilms Tumor",PHASE2,4,3,10,16,33,0.0,0.0,0.0,3.0,2.0,0.0,0.0
NCL,NCT03143101,COMPLETED,"Influenza, Healthy",PHASE4,6,3,0,16,25,0.0,0.0,6.0,7.0,4.0,3.0,2.0
NCOA1,NCT05093634,ACTIVE_NOT_RECRUITING,"Obesity, Genetic Obesity",PHASE3,5,2,0,16,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NCOR1,NCT06678685,NOT_YET_RECRUITING,"NCOR Gene Mutations, Spironolactone, ASD",PHASE2,4,2,0,16,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NEB,NCT01415531,COMPLETED,Hypertension,PHASE4,6,3,0,16,25,0.0,0.0,7.0,7.0,6.0,8.0,16.0
NEDD4,NCT01706887,TERMINATED,Hypertension,NA,0,0,0,16,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NEDD8,NCT03965689,ACTIVE_NOT_RECRUITING,"Metastatic Lung Non-Small Cell Squamous Carcinoma, Metastatic Lung Non-Squamous Non-Small Cell Carcinoma, Stage IIIB Lung Cancer AJCC v8, Stage IV Lung Cancer AJCC v8, Stage IVA Lung Cancer AJCC v8, Stage IVB Lung Cancer AJCC v8, Unresectable Lung Non-Small Cell Carcinoma, Unresectable Lung Non-Squamous Non-Small Cell Carcinoma",PHASE2,4,2,10,16,32,0.0,0.0,0.0,3.0,2.0,0.0,0.0
NEFH,NCT01854294,COMPLETED,Amyotrophic Lateral Sclerosis,PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NEGR1,NCT06131268,RECRUITING,"Major Depressive Disorder, Bipolar Affective Disorder, Currently Depressed, Moderate",PHASE4,6,2,0,16,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NELFCD,NCT04444622,RECRUITING,Metastatic Colorectal Cancer,PHASE2,4,2,10,16,32,0.0,0.0,0.0,1.0,1.0,0.0,0.0
NEO1,NCT06631092,RECRUITING,Triple Negative Breast Cancer,PHASE1,3,2,10,16,31,0.0,0.0,0.0,3.0,0.0,0.0,0.0
NEU1,NCT00228891,TERMINATED,"Diabetes Mellitus, With Complications",PHASE2,4,0,0,16,20,0.0,0.0,1.0,0.0,3.0,0.0,0.0
NF1,NCT00169611,COMPLETED,Neurofibromatosis Type 1,PHASE4,6,3,0,16,25,4.0,0.0,27.0,38.0,57.0,7.0,1.0
NF2,NCT01490476,COMPLETED,Neurofibromatosis 2,PHASE2,4,3,0,16,23,3.0,0.0,11.0,4.0,22.0,0.0,0.0
NFE2L2,NCT06491394,NOT_YET_RECRUITING,Rhabdomyolysis,PHASE4,6,2,0,16,24,0.0,0.0,5.0,3.0,6.0,0.0,2.0
NFKB1,NCT02608905,TERMINATED,Type 2 Diabetes Mellitus,PHASE4,6,0,0,16,22,0.0,0.0,2.0,5.0,4.0,0.0,2.0
NFKB2,NCT02765854,ACTIVE_NOT_RECRUITING,"Recurrent Plasma Cell Myeloma, Refractory Plasma Cell Myeloma",PHASE2,4,2,0,16,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NGFR,NCT05425719,COMPLETED,Chronic Kidney Disease,PHASE3,5,3,0,16,24,0.0,0.0,0.0,2.0,0.0,1.0,0.0
NGLY1,NCT05402345,RECRUITING,NGLY1 Deficiency,PHASE2,4,2,0,16,22,0.0,0.0,0.0,1.0,1.0,0.0,0.0
NHS,NCT02018094,COMPLETED,"Wound Infection, Amputation Wound",PHASE4,6,3,0,16,25,0.0,0.0,70.0,5.0,6.0,6.0,4.0
NIN,NCT01639014,COMPLETED,Ischemic Stroke,PHASE3,5,3,0,16,24,0.0,0.0,10.0,0.0,0.0,1.0,0.0
NIPBL,NCT06789783,RECRUITING,Cornelia De Lange Syndrome,PHASE2,4,2,0,16,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NKTR,NCT03785925,COMPLETED,"Urinary Bladder Neoplasm, Neoplasm Metastasis",PHASE2,4,3,10,16,33,0.0,0.0,0.0,9.0,5.0,0.0,0.0
NLN,NCT05672446,COMPLETED,"Anxiety, Pediatric Nursing, Patient Simulation, Self Efficacy, High Fidelity Simulation Training",NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
NLRC4,NCT03113760,COMPLETED,"NLRC4-MAS, XIAP Deficiency",PHASE3,5,3,0,16,24,0.0,0.0,0.0,0.0,1.0,3.0,0.0
NLRC5,NCT03979508,RECRUITING,"Anatomic Stage I Breast Cancer AJCC v8, Anatomic Stage II Breast Cancer AJCC v8, Anatomic Stage III Breast Cancer AJCC v8, Breast Ductal Carcinoma In Situ, Breast Fibrocystic Change, Breast Lobular Carcinoma In Situ, Invasive Breast Carcinoma, Prognostic Stage I Breast Cancer AJCC v8, Prognostic Stage IA Breast Cancer AJCC v8, Prognostic Stage IB Breast Cancer AJCC v8, Prognostic Stage II Breast Cancer AJCC v8, Prognostic Stage IIA Breast Cancer AJCC v8, Prognostic Stage IIB Breast Cancer AJCC v8, Prognostic Stage III Breast Cancer AJCC v8, Prognostic Stage IIIA Breast Cancer AJCC v8, Prognostic Stage IIIB Breast Cancer AJCC v8, Prognostic Stage IIIC Breast Cancer AJCC v8, Triple-Negative Breast Carcinoma",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NLRP1,NCT06066554,NOT_YET_RECRUITING,Early Disease Onset,NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NMB,NCT04287426,COMPLETED,"Neuromuscular Blockade, Intubation Complication, Anesthesia",PHASE4,6,3,0,16,25,2.0,0.0,64.0,3.0,17.0,12.0,79.0
NMI,NCT03504163,RECRUITING,Bladder Cancer,PHASE2,4,2,10,16,32,0.0,0.0,4.0,1.0,1.0,0.0,0.0
NNT,NCT02020928,UNKNOWN,"Oral Mucositis, Effects of Chemotherapy, Malignant Neoplasm of Bone Marrow",PHASE3,5,1,10,16,32,0.0,0.0,8.0,0.0,1.0,1.0,0.0
NONO,NCT01002638,TERMINATED,Fingertips Traumatic Amputations,NA,0,0,0,16,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NOS1AP,NCT06256419,RECRUITING,"Type 2 Diabetes Mellitus, Susceptibility, Genetic",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NOTCH1,NCT04939363,COMPLETED,Richter's Syndrome,PHASE2,4,3,0,16,23,0.0,0.0,3.0,1.0,6.0,0.0,0.0
NPAS2,NCT06544018,NOT_YET_RECRUITING,"Cryopyrin Associated Periodic Syndrome, Familial Cold Urticaria, Muckle-Wells Syndrome, CINCA Syndrome",NA,0,2,0,16,18,0.0,0.0,2.0,0.0,0.0,0.0,0.0
NPAT,NCT03967561,UNKNOWN,"Diabetes Mellitus, Type 2",NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NPC1,NCT04860960,ACTIVE_NOT_RECRUITING,"Niemann-Pick Disease, Type C1",PHASE3,5,2,0,16,23,0.0,0.0,0.0,5.0,4.0,1.0,0.0
NPC2,NCT02612129,COMPLETED,"Niemann-Pick Disease, Type C",PHASE2,4,3,0,16,23,0.0,0.0,0.0,2.0,1.0,0.0,0.0
NPHP1,NCT01022957,COMPLETED,Nephronophthisis,NA,0,3,0,16,19,0.0,0.0,3.0,0.0,0.0,0.0,0.0
NPHP3,NCT01022957,COMPLETED,Nephronophthisis,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NPHP4,NCT01022957,COMPLETED,Nephronophthisis,NA,0,3,0,16,19,0.0,0.0,3.0,0.0,0.0,0.0,0.0
NPIPA1,NCT05459129,COMPLETED,Squamous Cell Carcinoma of the Head and Neck,PHASE1,3,3,10,16,32,0.0,0.0,5.0,8.0,0.0,0.0,0.0
NPL,NCT04214938,COMPLETED,Nasopharyngeal Diseases,PHASE4,6,3,0,16,25,0.0,0.0,3.0,1.0,0.0,1.0,4.0
NPM1,NCT00860639,COMPLETED,Acute Myeloid Leukemia,PHASE3,5,3,10,16,34,0.0,0.0,2.0,19.0,11.0,6.0,0.0
NPR2,NCT03091998,WITHDRAWN,"Heart Failure, Left Ventricular Assist Device, Natriuretic Peptide",PHASE1,3,0,0,16,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NPW,NCT03942614,COMPLETED,"Cancer, Neoplasms",NA,0,3,10,16,29,0.0,0.0,2.0,0.0,0.0,0.0,0.0
NQO1,NCT03965689,ACTIVE_NOT_RECRUITING,"Metastatic Lung Non-Small Cell Squamous Carcinoma, Metastatic Lung Non-Squamous Non-Small Cell Carcinoma, Stage IIIB Lung Cancer AJCC v8, Stage IV Lung Cancer AJCC v8, Stage IVA Lung Cancer AJCC v8, Stage IVB Lung Cancer AJCC v8, Unresectable Lung Non-Small Cell Carcinoma, Unresectable Lung Non-Squamous Non-Small Cell Carcinoma",PHASE2,4,2,10,16,32,2.0,0.0,4.0,0.0,1.0,0.0,0.0
NQO2,NCT00746590,TERMINATED,Hepatocellular Carcinoma,PHASE2,4,0,10,16,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NR1D1,NCT06601660,ACTIVE_NOT_RECRUITING,"Obesity Type I and II, Obesity and Overweight",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NR1H3,NCT00644592,TERMINATED,Healthy,NA,0,0,0,16,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NR3C1,NCT01990560,COMPLETED,Mild Hypercortisolism,PHASE4,6,3,0,16,25,3.0,0.0,23.0,22.0,13.0,4.0,2.0
NR3C2,NCT00879060,COMPLETED,"Myocardial Fibrosis, Hypertrophic Cardiomyopathy",PHASE4,6,3,0,16,25,1.0,0.0,31.0,12.0,25.0,18.0,32.0
NR4A1,NCT02344550,COMPLETED,Metastatic Breast Cancer,PHASE2,4,3,10,16,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NR4A2,NCT05173701,UNKNOWN,Parkinson's Disease,NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NRAS,NCT02301962,UNKNOWN,Cancer,PHASE4,6,1,10,16,33,1.0,0.0,7.0,38.0,42.0,7.0,1.0
NRF1,NCT03562429,UNKNOWN,"Osteoarthritis, Knee",PHASE2,4,1,0,16,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NRG1,NCT04814056,UNKNOWN,NRG1-fused Non-small Cell Lung Cancer,PHASE4,6,1,10,16,33,0.0,0.0,0.0,3.0,10.0,0.0,2.0
NRG2,NCT01594177,COMPLETED,Unilateral HER2 Positive Breast Cancer,PHASE2,4,3,10,16,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NRG4,NCT01594177,COMPLETED,Unilateral HER2 Positive Breast Cancer,PHASE2,4,3,10,16,33,0.0,0.0,1.0,0.0,1.0,0.0,0.0
NRL,NCT04134039,COMPLETED,"Control of Pregnancy, Prevention of Sexually Transmitted Infections",PHASE4,6,3,0,16,25,0.0,0.0,8.0,0.0,1.0,2.0,2.0
NRM,NCT02623309,COMPLETED,Hematologic Neoplasms,PHASE3,5,3,10,16,34,1.0,0.0,16.0,17.0,42.0,6.0,0.0
NRP1,NCT00747734,COMPLETED,Solid Cancers,PHASE1,3,3,10,16,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0
NRP2,NCT04285892,COMPLETED,In Vitro Maturation of Oocytes,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NSF,NCT02752191,COMPLETED,Pediatric Congenital Heart Disease,PHASE4,6,3,0,16,25,1.0,0.0,5.0,1.0,2.0,4.0,6.0
NT5E,NCT00987974,COMPLETED,"Ischemia Reperfusion Injury, Endothelial Dysfunction",PHASE4,6,3,0,16,25,1.0,0.0,16.0,47.0,22.0,5.0,4.0
NTRK2,NCT03155620,ACTIVE_NOT_RECRUITING,"Advanced Malignant Solid Neoplasm, Ann Arbor Stage III Non-Hodgkin Lymphoma, Ann Arbor Stage IV Non-Hodgkin Lymphoma, Histiocytic Sarcoma, Juvenile Xanthogranuloma, Langerhans Cell Histiocytosis, Malignant Glioma, Recurrent Childhood Rhabdomyosarcoma, Recurrent Ependymoma, Recurrent Ewing Sarcoma, Recurrent Glioma, Recurrent Hepatoblastoma, Recurrent Langerhans Cell Histiocytosis, Recurrent Malignant Germ Cell Tumor, Recurrent Malignant Solid Neoplasm, Recurrent Medulloblastoma, Recurrent Neuroblastoma, Recurrent Non-Hodgkin Lymphoma, Recurrent Osteosarcoma, Recurrent Peripheral Primitive Neuroectodermal Tumor, Recurrent Primary Central Nervous System Neoplasm, Recurrent Rhabdoid Tumor, Recurrent Soft Tissue Sarcoma, Refractory Ewing Sarcoma, Refractory Glioma, Refractory Hepatoblastoma, Refractory Langerhans Cell Histiocytosis, Refractory Malignant Germ Cell Tumor, Refractory Malignant Solid Neoplasm, Refractory Medulloblastoma, Refractory Neuroblastoma, Refractory Non-Hodgkin Lymphoma, Refractory Osteosarcoma, Refractory Peripheral Primitive Neuroectodermal Tumor, Refractory Primary Central Nervous System Neoplasm, Refractory Rhabdoid Tumor, Refractory Rhabdomyosarcoma, Rhabdoid Tumor, Stage III Osteosarcoma AJCC v7, Stage III Soft Tissue Sarcoma AJCC v7, Stage IV Osteosarcoma AJCC v7, Stage IV Soft Tissue Sarcoma AJCC v7, Stage IVA Osteosarcoma AJCC v7, Stage IVB Osteosarcoma AJCC v7, Wilms Tumor",PHASE2,4,2,10,16,32,0.0,0.0,3.0,8.0,3.0,0.0,0.0
NUB1,NCT04529031,RECRUITING,Posttraumatic Stress Disorder,NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NUDT15,NCT02929706,UNKNOWN,Thiopurine-induced Leukopenia,NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NUDT21,NCT06424301,RECRUITING,"Retinoblastoma, Refractory",EARLY_PHASE1,2,2,0,16,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NUMB,NCT02506660,COMPLETED,"Pain, Shoulder Arthroscopy",PHASE4,6,3,0,16,25,5.0,0.0,47.0,10.0,12.0,5.0,27.0
NUP214,NCT04441996,COMPLETED,COVID-19,PHASE4,6,3,0,16,25,4.0,0.0,33.0,9.0,5.0,5.0,2.0
NUP98,NCT05326516,COMPLETED,"Relapsed/Refractory Leukemias, Acute Lymphoblastic Leukemia, Acute Lymphocytic Leukemia, Mixed Phenotype Acute Leukemia, Acute Myeloid Leukemia, Acute Undifferentiated Leukemia",PHASE1,3,3,10,16,32,0.0,0.0,0.0,3.0,0.0,0.0,0.0
NVL,NCT05384626,RECRUITING,"Locally Advanced Solid Tumor, Metastatic Solid Tumor",PHASE1,3,2,10,16,31,0.0,0.0,2.0,2.0,0.0,0.0,0.0
OAF,NCT06281873,COMPLETED,Oroantral Fistula,NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
OAS2,NCT03979508,RECRUITING,"Anatomic Stage I Breast Cancer AJCC v8, Anatomic Stage II Breast Cancer AJCC v8, Anatomic Stage III Breast Cancer AJCC v8, Breast Ductal Carcinoma In Situ, Breast Fibrocystic Change, Breast Lobular Carcinoma In Situ, Invasive Breast Carcinoma, Prognostic Stage I Breast Cancer AJCC v8, Prognostic Stage IA Breast Cancer AJCC v8, Prognostic Stage IB Breast Cancer AJCC v8, Prognostic Stage II Breast Cancer AJCC v8, Prognostic Stage IIA Breast Cancer AJCC v8, Prognostic Stage IIB Breast Cancer AJCC v8, Prognostic Stage III Breast Cancer AJCC v8, Prognostic Stage IIIA Breast Cancer AJCC v8, Prognostic Stage IIIB Breast Cancer AJCC v8, Prognostic Stage IIIC Breast Cancer AJCC v8, Triple-Negative Breast Carcinoma",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
OAT,NCT00025766,COMPLETED,"Cardiovascular Diseases, Coronary Disease, Heart Diseases, Myocardial Infarction",PHASE4,6,3,0,16,25,2.0,0.0,168.0,6.0,16.0,5.0,18.0
OCRL,NCT01314560,COMPLETED,Oculocerebrorenal Syndrome,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ODC1,NCT04633239,RECRUITING,"Recurrent Ovarian High Grade Serous Adenocarcinoma, Recurrent Platinum-Resistant Ovarian Carcinoma",PHASE1,3,2,10,16,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OGT,NCT04836052,UNKNOWN,COVID-19,PHASE3,5,1,0,16,22,0.0,0.0,15.0,3.0,5.0,1.0,0.0
OPA1,NCT06007391,RECRUITING,Nicotinamide Adverse Reaction,PHASE2,4,2,0,16,22,0.0,0.0,1.0,1.0,1.0,0.0,0.0
OPTN,NCT02525510,COMPLETED,"Brain Death, Organ Donation, Organ Transplant Failure or Rejection, Delayed Graft Function",NA,0,3,0,16,19,0.0,0.0,4.0,0.0,0.0,0.0,0.0
P2RX7,NCT02293811,TERMINATED,Crohn Disease-Associated Colorectal Adenocarcinoma,NA,0,0,10,16,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0
P4HB,NCT04514510,COMPLETED,Sickle Cell Disease,PHASE2,4,3,0,16,23,0.0,0.0,1.0,0.0,1.0,0.0,0.0
PABPN1,NCT06185673,RECRUITING,Oculopharyngeal Muscular Dystrophy,PHASE1,3,2,0,16,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PAK1,NCT04480593,COMPLETED,Covid19,PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PAK4,NCT04914845,RECRUITING,"Acute Myeloid Leukemia, Acute Myeloid Leukemia, in Relapse, Acute Myeloid Leukemia Refractory",PHASE1,3,2,10,16,31,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PALB2,NCT06380751,RECRUITING,Advanced Breast Cancer,PHASE3,5,2,10,16,33,0.0,0.0,4.0,7.0,23.0,2.0,0.0
PALM,NCT01258920,COMPLETED,Schizophrenia,PHASE3,5,3,0,16,24,1.0,0.0,43.0,3.0,9.0,4.0,0.0
PAM,NCT03706755,COMPLETED,"Anesthesia, Adverse Effect, Hypotension, Cesarean Section Complications, Vasopressor",PHASE4,6,3,0,16,25,0.0,0.0,90.0,11.0,8.0,8.0,3.0
PANK2,NCT02174848,COMPLETED,Pantothenate Kinase-Associated Neurodegeneration,PHASE3,5,3,0,16,24,0.0,0.0,1.0,0.0,0.0,3.0,0.0
PANX1,NCT04939623,RECRUITING,"Chronic Pain, Drug Dependence of Morphine Type, Symptom, Withdrawal",PHASE2,4,2,0,16,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PAOX,NCT01095731,COMPLETED,Aneurysmal Subarachnoid Hemorrhage,PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PAPPA,NCT04119349,COMPLETED,"Genetic Counseling, Prenatal Diagnosis",NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PARG,NCT06395519,RECRUITING,"Advanced or Metastatic Solid Tumors, Breast Cancer, Ovarian Cancer, Prostate Cancer, Epithelial Ovarian Cancer, BRCA2 Mutation, ER+ Breast Cancer, Castrate Resistant Prostate Cancer, BRCA1 Mutation, BRCA Mutation, Endometrial Cancer, Colorectal Cancer, Gastric Cancer",PHASE1,3,2,10,16,31,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PARP1,NCT01082549,COMPLETED,Squamous Cell Lung Cancer,PHASE3,5,3,10,16,34,6.0,0.0,3.0,41.0,24.0,1.0,0.0
PARP14,NCT05215808,RECRUITING,Atopic Dermatitis,PHASE1,3,2,0,16,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PARP2,NCT05494580,RECRUITING,"Ovarian Cancer, Ovarian Carcinoma, Platinum-resistant Ovarian Cancer, Fallopian Tube Carcinosarcoma, Primary Peritoneal Cancer",PHASE1,3,2,10,16,31,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PARP3,NCT04053673,UNKNOWN,"Solid Tumor, Adult",PHASE1,3,1,10,16,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PART1,NCT01734382,COMPLETED,Juvenile Idiopathic Arthritis,PHASE4,6,3,0,0,9,0.0,0.0,0.0,4.0,0.0,0.0,1.0
PAWR,NCT04011410,ACTIVE_NOT_RECRUITING,Prostate Cancer Recurrent,PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PBK,NCT05398237,COMPLETED,Sun Damaged Skin,NA,0,3,0,16,19,0.0,0.0,4.0,0.0,0.0,0.0,0.0
PC,NCT06256289,NOT_YET_RECRUITING,"Polycystic Ovary Syndrome, Non-Alcoholic Fatty Liver Disease",PHASE4,6,2,0,16,24,0.0,0.0,83.0,12.0,24.0,16.0,3.0
PCCA,NCT04210310,TERMINATED,Tinnitus,PHASE3,5,0,0,16,21,0.0,0.0,4.0,1.0,2.0,1.0,0.0
PCDH9,NCT06167590,RECRUITING,"Depression, Anxiety, Healthy",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PCNA,NCT00637988,COMPLETED,Barrett's Esophagus,PHASE4,6,3,0,16,25,0.0,0.0,5.0,5.0,3.0,2.0,1.0
